Name,Logo,Relative_Path,Link,Deadline,Award,Eligibility,About,Eligibility_Detail,Benefits,Documents,How_to_Apply,Important_Dates,Selection_Criteria,Terms_and_Conditions,Contact_Details,Important_Links,FAQs
COLLEGE BOARD 90% FEE WAIVER PROGRAM,logos\COLLEGE_BOARD_90%_FEE_WAIVER_PROGRAM.jpeg,/collegeboard,https://www.buddy4study.com/collegeboard,21 May 2026,Tuition fee waiver,Class 11 and 12,N/A,Resident of India Student in Class XI or XII Annual Family Income less than ₹8 Lakhs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Q: What is the SAT? | A: The SAT is the world’s most widely used standardized test for undergraduate studies and measures students on their reading, writing, and math skills. The SAT is a global passport, enabling students to apply to universities around the world. It measures essential skills—such as reading, writing, and math—that students learn in school and need to succeed in college. The SAT allows students to present their academic strengths to universities in a standardized way. The combination of test scores and grades is a strong predictor of college success. Since grading systems and curricula vary across schools and countries, the SAT serves as a useful common measure to highlight students’ potential beyond their school transcripts.  SAT is administered 8 times in a year. You may check the SAT dates and deadlines here: https://satsuite.collegeboard.org/sat/dates-deadlines Universities all over the world trust the SAT to provide useful information about how well-prepared a student is for university-level coursework. https://international.collegeboard.org/students/sat/taking-sat-around-world SAT acceptance in India: India Universities that accept SAT as part of their admission process. https://international.collegeboard.org/students/sat/acceptance-india || Q: Who Can Get an SAT Discount and How can I request for a SAT fee reduction voucher from Buddy4Study and redeem it? | A: The SAT is administered at more than 181 test centers across over 65+ cities in India. To find a test center near you, visit the official website: https://satsuite.collegeboard.org/sat/test-center-search. || Q: Who Can Get an SAT Discount and How can I request for a SAT fee reduction voucher from Buddy4Study and redeem it? | A: The SAT is administered at more than 181 test centers across over 65+ cities in India. To find a test center near you, visit the official website: https://satsuite.collegeboard.org/sat/test-center-search. || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How to prepare for SAT Exam? | A: The SAT is composed of two sections: (1) the Reading and Writing section, and (2) the Math section. You have 64 minutes to complete the Reading and Writing section and 70 minutes to complete the Math section for a total of 2 hours and 14 minutes. Each section is divided into 2 equal length modules, and there is a 10-minute break between the Reading and Writing section and the Math section. The first module of each section contains a broad mix of easy, medium, and hard questions. Based on how you perform on the first module, the second module of questions will either be more difficult or less difficult. https://satsuite.collegeboard.org/sat/whats-on-the-test/structure || Q: How to send your SAT scores directly to colleges? | A: Whether you're taking the SAT Weekend or PSAT/NMSQT, PSAT 10, or PSAT 8/9, find your free practice resources here: https://satsuite.collegeboard.org/practice || Q: If I have any queries, whom should I contact? | A: Find more about how to access your SAT scores from weekend administrations and what to do next. https://satsuite.collegeboard.org/scores/sat Send SAT Scores: You can send your scores to colleges, scholarship organizations, and other educational institutions. https://satsuite.collegeboard.org/scores/sending-sat-scores"
MASTERS' UNION: SCHOLARSHIP-CUM-ADMISSION SEATS (SAS) PROGRAM 2025 (UG IN DATA SCIENCE & ARTIFICIAL INTELLIGENCE),logos\MASTERS'_UNION_SCHOLARSHIP-CUM-ADMISSION_SEATS_(SA.png,/page/masters-union-scholarship-aptitude-test-2026,https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026,13 May 2026,Tuition fee waiver of up to 80%,For Undergraduate students,"The Masters’ Union: Scholarship Aptitude Test 2026 aims to make world-class education accessible to deserving students. This scholarship is specifically designed for merit-based, high-potential candidates pursuing careers in Business Management, Technology, Data Science & AI, Design, Finance & Economics, Marketing and Psychology. By providing financial assistance and direct admission opportunities with tuition fee scholarships based on academic excellence and financial need.  About Masters’ Union  Masters’ Union is a new-age high education institute led by Ivy League alumni, industry practitioners and global leaders from Google, Microsoft, and Amazon. Masters’ Union is redefining education through an industry-driven and experiential learning approach with real-world exposure and technology to create a practical and future-ready learning environment. Its mission is to bridge the gap between classroom learning and industry emerging requirements by bringing industry-ready leaders, entrepreneurs, and changemakers capable of solving complex global challenges.  Masters' Union undergraduates have secured an average of ₹19 LPA in Pre-P","Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,N/A,"Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: Which courses are covered under this scholarship? | A: Indian citizens who are Class 12 students from any recognised education boards and are currently studying or passed in 2025 with an interest in Business Management, Technology, Data Science & AI, Finance & Economics, Design,Marketing and Psychology can apply. || Q: What is the scholarship amount offered under this programme? | A: The scholarship is applicable for undergraduate programmes, including Tech & Business Management, Psychology & Marketing, Finance & Economics, Design,Data Science & Artificial Intelligence. || Q: Is the scholarship purely merit-based? | A: Scholarships range from 10% to 80% tuition fee waivers, depending on the course and the applicant’s performance in qualifying exams such as MUSAT, CUET, IPMAT, JEE, or SAT. || Q: What is the total fee for programmes at Masters’ Union? | A: Yes, this programme primarily awards scholarships based on academic merit and performance in recognised aptitude or entrance exams. || Q: What is the total fee for programmes at Masters’ Union? | A: Yes, this programme primarily awards scholarships based on academic merit and performance in recognised aptitude or entrance exams."
BUDDY4STUDY PSYCHOMETRIC TEST,logos\BUDDY4STUDY_PSYCHOMETRIC_TEST.png,/page/buddy4study-career-test,https://www.buddy4study.com/page/buddy4study-career-test,31 July 2026,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,"Buddy4Study Career Assesment Test is an all-in-one career guidance solution designed to help students make informed academic and career decisions. Combining the Stream Selector Test and Psychometric Test, it provides personalized insights into a student’s interests, strengths, and personality traits.  Whether you're unsure about choosing between Science, Commerce, or Arts, or exploring the right career path based on your abilities, the Buddy4Study Career Assessment Test offers data-driven recommendations to guide you. With clear, actionable reports, it empowers students to align their choices with long-term goals, making career planning simpler, smarter, and more effective.",Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,N/A,Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Buddy4Study Career Assessment Test? | A: The Buddy4Study Career Assessment Test is a career guidance programme launched by Buddy4Study. This program aims to assist Class 10 passed students in identifying their career prospects keeping in mind their personality, interests, skills, and preferences. || Q: How does the psychometric test work? | A: The programme is open to students who have passed Class 10 examination or who are pursuing higher education. || Q: How does the psychometric test work? | A: The programme is open to students who have passed Class 10 examination or who are pursuing higher education. || Q: What are the benefits of taking the stream selector test? | A: The psychometric test includes questions that check different aspects of a participant's personality, like their interests, skills, and preferences. The answers are then studied to create a unique career profile for each student. || Q: What are the benefits of taking the stream selector test? | A: The Stream Selector Test offers several benefits, primarily by helping students choose the right academic path in Class 11. It analyzes your personality, skills, and interests to provide smarter subject planning and career choices. The test also aids in self-understanding, allowing you to identify your true potential and make informed decisions about your future. || Q: What are the benefits of participating in this programme? | A: The Stream Selector Test offers several benefits, primarily by helping students choose the right academic path in Class 11. It analyzes your personality, skills, and interests to provide smarter subject planning and career choices. The test also aids in self-understanding, allowing you to identify your true potential and make informed decisions about your future. || Q: How does the stream selector test works? | A: Through the Buddy4Study Career Test, participants discover their own strengths and get assistance in choosing the right careers. The program also provides a detailed report comprising suggestions and recommendations regarding areas of study and future career options. Moreover, a certificate of competition is also given to students after test completion. || Q: How can I enroll in the Buddy4Study Career Assessment Test? | A: The stream selector determines the best academic streams for you in Class 11 by analyzing your personality, preferred activities, and subjects. It records your responses, identifies suitable matches, and generates a detailed report outlining your top stream options."
NURTR NURTURING MINDS WITH CHESS PROGRAM (90% FEE WAIVER) 2025-26,logos\NURTR_NURTURING_MINDS_WITH_CHESS_PROGRAM_(90%_FEE_.jpg,/nurtneo,https://www.buddy4study.com/nurtneo,31 July 2026,90% fee waiver,School or college students under the age range of 5 to 25 years,"The ‘nurtr Nurturing Minds with Chess program is a collaborative effort between nurtr, a leading online chess academy, and Buddy4Study with the primary goal of utilizing the game of chess as a powerful tool for the holistic development and education of school and college students in India.",N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,N/A,N/A,N/A
STEP ELEARN – GENERAL COMMUNICATION ONLINE (54% DISCOUNT),logos\STEP_ELEARN_–_GENERAL_COMMUNICATION_ONLINE_(54%_DI.png,/scholarship/step-elearn-general-communication-online-category-three,https://www.buddy4study.com/scholarship/step-elearn-general-communication-online-category-three,31 December 2026,Effective English communication in spoken and written interactions,Adult learners and anyone seeking to improve English skills independently,STEP eLearn,N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,Support Email: info@steptest.in Contact Number: +91 9789883344 Operational Hours: 10:00 AM – 6:30 PM (Weekdays),N/A,What is STEP eLearn? Do I get a certificate? Is there live support or coaching? What level is this course for? Can I access lessons on mobile? What if I can’t complete the course in time? Is refund available?
THE SONNY MEHTA INDIA SCHOLARSHIP 2026,logos\THE_SONNY_MEHTA_INDIA_SCHOLARSHIP_2026.png,/scholarship/the-sonny-mehta-india-scholarship-2026,https://www.buddy4study.com/scholarship/the-sonny-mehta-india-scholarship-2026,Last day to go,Tuition and maintenance fees,Talented Indian writers,"The Sonny Mehta India Scholarship 2026 is an opportunity offered by the University of East Anglia to talented Indian writers. This scholarship enables the students to undertake study in the Department of Literature, Drama and Creative Writing at UEA. The selected candidate's tuition fees and maintenance fees.",Talented Indian writers,"Selected candidates will receive funding for their tuition fees and maintenance fees, worth £28,500 (approximately ₹ 31,30,000).",Offer letter to study from UEA Passport Marksheet of the last year,"Eligible candidates can apply for the scholarship by following the steps mentioned below - Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and fill in the required registration details. (Note - If already registered, log in using Gmail/Mobile number/Email Id.) Step 3: Click the 'Apply Now' button. Step 5: Fill in the required details, tick the consent and submit.",Application Deadline: 1st April 2025,The candidates will be selected based on the fulfilment of the eligibility criteria.,The applicants applying for this scholarship must not be in receipt of any other awards or scholarships.,"University of East Anglia Norwich Research Park,  Norwich NR4 7TJ, United Kingdom Contact Number: (+44) (0) 1603 456161 Source: https://www.uea.ac.uk/study/fees-and-funding",Media Link Apply online link,Questions: What is The Sonny Mehta India Scholarship? Answers: The Sonny Mehta India Scholarship is a prestigious scholarship program designed to support aspiring writers and translators from India. It aims to nurture literary talent and promote cross-cultural exchange by providing financial assistance and mentorship opportunities.  Questions: Who is eligible to apply for this scholarship? Answer: Applicant must be an Indian citizen residing in India with a track record or demonstrated potential in writing or translation.  Questions: What is the deadline for applications? Answers: The deadline for the scholarship is 1st April 2025.  Questions:  Who should I contact if I have further questions? Answers: Contact information for inquiries will be provided on the official scholarship website.  Questions: What is the duration of the scholarship? Answers: The scholarship duration depends on the program of study or the specific terms of the award.
FSSAI INTERNSHIP PROGRAMME 2026,logos\FSSAI_INTERNSHIP_PROGRAMME_2026.png,/scholarship/fssai-internship-programme-2026,https://www.buddy4study.com/scholarship/fssai-internship-programme-2026,1 day to go,"Stipend of ₹10,000 per month and a certificate","Graduate, postgraduate degree, higher degree holders","FSSAI Internship Programme 2026 is an opportunity offered by the Food Safety & Standards Authority of India (FSSAI) to graduate, postgraduate, and higher degree holders. The internship programme will provide interns with unique learning opportunities in various areas of food regulation of food safety administration. The selected candidates will receive a stipend of ₹10,000 per month and a certificate from the respective FSSAI (HQ)/Regional Offices/Laboratories on successful completion of the internship i.e. on submission and review of the final report/presentation.","Graduate, postgraduate degree, higher degree holders","The candidates will receive a stipend of ₹10,000 per month and a certificate from the respective FSSAI (HQ)/Regional Offices/Laboratories on successful completion of the internship i.e. on submission and review of final report/presentation.",Letter from the Institute confirming student status No Objection Certificate (NOC) from the Institute Character Certificate issued by the Institute Proof of educational qualifications,"Eligible applicants can apply by following these steps:-  Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and fill in the required registration details. (Note:- If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Click on the 'Apply Now' button below and read all details. Step 4: Click on the 'Register' button on the right-hand side of the dashboard and fill in the required details to Register.  Step 5: Fill in the required details, upload the necessary documents and submit.",Application Deadline: 8th April 2026,The applicants will be selected based on the following criteria:  Attendance Assessment by their respective reporting officers Evaluation of the report by the Committee,"Multiple applications will not be entertained. Applicants who have applied for internships in previous months, need to apply afresh. The shortlisted candidates will be required to submit a short write-up/presentation for final selection. FSSAI will provide working space, internet facility and other necessities but will not cover lodging and travel facilities. FSSAI will not bear the expenses of any Boarding.  All candidates are required to ensure that the place for the internship that they are opting for has the subject/topic available with the place i.e. in the case of FSSAI lab only technically qualified candidates will be eligible. Interns would be attached to one of the several Divisions at FSSAI (HQ)/ROs/Labs depending on the academic and technical training and assigned project(s) related to different aspects of Food and Nutrition Management Processes.  Interns would be required to carry a letter from their institute indicating their status in the institution as a student and a 'No Objection Certificate' for allowing them to undergo Internship Program for the period for which they are selected, if applicable.  A character certificate from the authority of the Institute, with proof of educational qualifications as mentioned in the application form, would also need to be submitted at the time of joining for the internship.  The final list of selected candidates with the date of joining and internship tenure would be declared online on the FSSAI website by the respective office where they have opted for an internship.  Interns would be required to have their own laptops.","Food Safety and Standards Authority of India 3rd & 4th Floor, FDA Bhawan,  Kotla Road, Near Bal Bhawan New Delhi - 110002 Email Id: fssaiinternship@gmail.com Source: Internship Portal",Media Link Apply online link,"Question: Who is offering the FSSAI Internship Programme 2026? Answer: The Food Safety and Standards Authority of India (FSSAI), Ministry of Health & Family Welfare.   Question: Is the internship paid? Answer: Yes, selected interns may receive a stipend of ₹10,000 for the entire internship period.  Question: What is the minimum duration of the internship? Answer: The minimum duration is 2 months.  Question: What is the mode of application? Answer: Applications are accepted online through the FSSAI official portal."
NISER SUMMER INTERNSHIP PROGRAM 2026,logos\NISER_SUMMER_INTERNSHIP_PROGRAM_2026.png,/scholarship/niser-summer-internship-program-2026,https://www.buddy4study.com/scholarship/niser-summer-internship-program-2026,3 days to go,"A monthly stipend of ₹5,000 and other benefits",Students enrolled in UG and PG courses,"The NISER Summer Internship Program 2026 is an opportunity provided by the School of Chemical Sciences (SCS), NISER, to students enrolled in UG and PG courses. This 2-month internship provides an opportunity for the students to work and learn under the guidance of faculty members of the School of Chemical Sciences. The selected candidates will receive a monthly stipend of up to ₹5,000 and other benefits.",Students enrolled in UG and PG courses,"The selected candidate will receive:  A monthly stipend of ₹5,000 A Project Completion Certificate To and fro single travel support of second class sleeper train",Bonafide-Cum-No Objection Certificate in the prescribed format.  Consent letter/E-mail from the respective PI/Faculty. Reference Letter (2) Curriculum Vitae Passport-size photograph Previous semester marksheet,"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click ‘Summer Internship Programme 2026’ in the Announcements section.  Step 4: Navigate to the ‘How to Apply’ section in the document that opens up and click on the ‘Google Form’  Step 5: Fill in all the mentioned details, upload the required documents, tick the ‘Declaration’ check box, and click on ‘Submit’","Application Deadline: 10th April, 2026 Publication of Shortlist: 20th-25th April, 2026 Duration of the Internship: 16 May - 15 July, 2026",The applicants will be selected based on the fulfillment of eligibility criteria.,"Applications received after the specified deadline or without the required “Bonafide-Cum-No Objection Certificate” in the prescribed format will not be considered. Applicants are advised to arrange for two reference letters from their referees, which must be sent directly via email to the Programme Coordinator of the respective school on or before 10th April, 2026.","National Institute of Science Education and Research At/PO: Jatni,  Dist: Khurda,  Odisha - 752050, India Email ID: registrar@niser.ac.in l Phone Number: +91-674-2494049 / 4005 Source: https://www.niser.ac.in/",Apply online link Media Link,"Question: Who is providing this internship? Answer: NISER is offering this opportunity.  Question: What is the application deadline for this internship? Answer: The application deadline for this is 10th April 2026.  Question: What is the duration of this internship? Answer: Selected students have to complete the internship in 2 months, starting from 16th May 2026 to 15th July 2026.   Question: Does this internship provide for the accommodation cost? Answer: No, the selected interns shall be provided with hostel accommodation on a chargeable basis, based on the availability. The hostel charge is ₹30 per day.    Question: What are the benefits of this internship? Answer: The selected candidate will receive a monthly stipend of  up to ₹5,000 and other benefits."
THINK BIG SCHOLARSHIP UNIVERSITY OF BRISTOL 2026,logos\THINK_BIG_SCHOLARSHIP_UNIVERSITY_OF_BRISTOL_2026.png,/scholarship/think-big-scholarship-university-of-bristol-2026,https://www.buddy4study.com/scholarship/think-big-scholarship-university-of-bristol-2026,3 days to go,Funding towards tuition fees,UG and PG applicants,"Think Big Scholarship, University of Bristol 2026 is an opportunity offered by the University of Bristol to Indian students pursuing eligible courses at the university. The selected students will receive funding towards tuition fees.",UG and PG applicants,Selected candidates will receive funding towards their tuition fees.,"Academic transcripts, including marksheets and certificates A valid passport","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register. (Note:- If already registered, log in using Gmail/Mobile Number/Email ID.) Step 3: Navigate to the 'How to Apply' section and click on the interlinked text. Step 4: Click 'Start Application' and select 'Yes', then click 'Next'. Step 5: Fill in the required details, upload the necessary documents and submit the application.  Note:- For detailed information, kindly refer to the 'Application Guidance' document.",Application Deadline: 10th April 2026 (10 AM UK time),Candidates will be selected based on the fulfilment of the eligibility criteria and responses to the scholarship application essay questions.,"Only one scholarship per applicant will be accepted. Unless otherwise specified, undergraduate scholarships are awarded for all years of undergraduate study at the University of Bristol excluding semesters spent away from Bristol, such as industry placements. This is subject to maintaining satisfactory academic progress throughout the program. The University of Bristol reserves the right to update or amend scholarship awards based on the availability and quality of applications received. Notice of such changes may not be provided. Students awarded a scholarship agree to act as ambassadors for the University of Bristol. For more details, refer to the 'Application Guidance' document.","University of Bristol Beacon House Queens Road Bristol, BS8 1QU, UK Email ID: international-scholarships@bristol.ac.uk | Phone Number: +44 (0)117 928 9000 Source: www.bristol.ac.uk",Apply online link Media Link,"Question: Are visa costs covered under this scholarship? Answer: No, visa costs are not provided.  Question: Can students apply for a scholarship before applying for a course? Answer: No, the students must apply for a course at Bristol University before applying for the scholarship.  Question: Can students apply for the scholarship without an offer letter? Answer: Yes, students may apply before receiving the offer letter.  Question: Are there living allowances under this scholarship? Answer: There are no allowances provided towards living costs in this scholarship.  Question: What is the mode of application for this scholarship? Answer: The mode of application for this scholarship is online through the official university website."
IIT JAMMU RISE-UP PROGRAM 2026,logos\IIT_JAMMU_RISE-UP_PROGRAM_2026.png,/scholarship/iit-jammu-rise-up-program-2026,https://www.buddy4study.com/scholarship/iit-jammu-rise-up-program-2026,3 days to go,₹420 daily stipend and other benefits,Students pursuing graduation,The IIT Jammu RISE-UP Program 2026 is offered by the Indian Institute of Technology Jammu. The internship is a prestigious research opportunity designed to nurture undergraduate research culture by providing hands-on experience at one of India's premier technical institutions. Selected candidates will receive a daily stipend of ₹420 along with the opportunity to work closely with IIT Jammu faculty.,Students pursuing graduation,A daily stipend of ₹420 for the duration of the internship (up to a maximum of 8 weeks) On-campus hostel accommodation (applicable hostel and mess charges payable by the intern) Access to IIT Jammu laboratories and research infrastructure Opportunity to work directly with IIT Jammu faculty members Hands-on research experience in the sciences and engineering,"Recent passport-size photograph (formats: png, jpg, and jpeg) signature of yourself (formats: png, jpg, and jpeg) Academic Marksheets Curriculum Vitae Bonafide Certificate Declaration from the parents  Note: Attachment uploaded must not be password-protected or read-only.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and fill in the required registration details. (Note:- If already registered, log in using Gmail/Mobile number/Email Id.) Step 3: Navigate to the ‘Application Portal for Online Applications’. Step 4: Click on the ‘Create an Account for New Applicant’. Step 5: Fill in the required details and click on the ‘GET STARTED’ button. Step 6: Click on the verification link sent to your registered email ID.  Step 7: Set the password. Step 8: Login with your credentials and proceed with your application.",Application Deadline: 10th April 2026,Candidates will be selected based on eligibility criteria.,Students may contact the faculty members of IIT-Jammu before submitting the online application form.  This is a fully offline internship. Students must select one primary and one secondary project based on their research interest. The research question can be changed later with the consent of the student and the supervisor. Interns will have to bear the expenses of the hostel and mess facilities at IIT Jammu.,"Indian Institute of Technology Jammu Jagti, NH-44 , PO Nagrota Jammu - 181 221 J&K,  India. Email ID: riseup@iitjammu.ac.in Source: Indian Institute of Technology, Jammu",Apply online link Media Link,"Question: Who is offering the IIT Jammu RISE-UP Internship 2026?  Answer: The Indian Institute of Technology Jammu, through its Centre for Essential Skills, is offering this opportunity.   Question: What is the stipend for the internship?  Answer: Selected interns will receive a stipend of ₹420 per day for 4 to 8 weeks.  Question: Who is eligible for the RISE-UP Internship 2026?  Answer: Pre-final year students of BTech/BE/BS (4-year) or MSc/MTech (2-year) programs from non-IIT Jammu institutions are eligible to apply for the internship.  Question: What is the last date to apply for the IIT Jammu RISE-UP Internship 2026?  Answer: The last date to apply for the internship is 10th April 2026.  Question: Is the internship online or offline?  Answer: The internship is fully offline and must be undertaken at the IIT Jammu campus.  Question: What is the mode of application?  Answer: The application is online through the official IIT Jammu portal."
