Name,Link,Deadline,Award,Eligibility,About,Detailed_Eligibility,Benefits,How_to_Apply
COLLEGE BOARD 90% FEE WAIVER PROGRAM,https://www.buddy4study.com/collegeboard,21-May-26,Tuition fee waiver,Class 11 and 12,N/A,N/A,N/A,N/A
MASTERS' UNION: SCHOLARSHIP-CUM-ADMISSION SEATS (SAS) PROGRAM 2025 (UG IN DATA SCIENCE & ARTIFICIAL INTELLIGENCE),https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026,13-May-26,Tuition fee waiver of up to 80%,For Undergraduate students,"About The Program The Masters’ Union: Scholarship Aptitude Test 2026 aims to make world-class education accessible to deserving students. This scholarship is specifically designed for merit-based, high-potential candidates pursuing careers in Business Management, Technology, Data Science & AI, Design, Finance & Economics, Marketing and Psychology. By providing financial assistance and direct admission opportunities with tuition fee scholarships based on academic excellence and financial need. About Masters’ Union Masters’ Union is a new-age high education institute led by Ivy League alumni, industry practitioners and global leaders from Google, Microsoft, and Amazon. Masters’ Union is redefining education through an industry-driven and experiential learning approach with real-world exposure and technology to create a practical and future-ready learning environment. Its mission is to bridge the gap between classroom learning and industry emerging requirements by bringing industry-ready leaders, entrepreneurs, and changemakers capable of solving complex global challenges. Masters' Union undergraduates have secured an average of ₹19 LPA in Pre-P Read More...",N/A,N/A,N/A
BUDDY4STUDY PSYCHOMETRIC TEST,https://www.buddy4study.com/page/buddy4study-career-test,31-Jul-26,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,"About The Program Buddy4Study Career Assesment Test is an all-in-one career guidance solution designed to help students make informed academic and career decisions. Combining the Stream Selector Test and Psychometric Test, it provides personalized insights into a student’s interests, strengths, and personality traits. Whether you're unsure about choosing between Science, Commerce, or Arts, or exploring the right career path based on your abilities, the Buddy4Study Career Assessment Test offers data-driven recommendations to guide you. With clear, actionable reports, it empowers students to align their choices with long-term goals, making career planning simpler, smarter, and more effective.",Candidates must have passed Class 10 or must be pursuing higher education. Programme Fee: ₹299  Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,"At the end of the test, students will get a detailed report that helps them understand their personality better and suggests which jobs could be a good fit for them. Students will also receive a certificate, acknowledging their successful test completion. The program not only assesses students; it also recommends potential jobs that fit well with their personalities. Students gain valuable insights about the pay scale of the recommended job, helping them decide on their future steps wisely The program also recommends academic courses that match respective career paths. The program also suggests suitable colleges or universities where candidates can pursue the recommended courses.","Visit the official website of Buddy4Study. Click on the 'Take Test' tab. Register or log in with Buddy4Study to proceed. Begin the test and answer the questions thoughtfully. Upon completing the test, make the payment for the programme fee.  Once the payment is confirmed, students will receive their detailed test report and certificate of completion."
NURTR NURTURING MINDS WITH CHESS PROGRAM (90% FEE WAIVER) 2025-26,https://www.buddy4study.com/nurtneo,31-Jul-26,90% fee waiver,School or college students under the age range of 5 to 25 years,N/A,N/A,N/A,N/A
STEP ELEARN – GENERAL COMMUNICATION ONLINE (54% DISCOUNT),https://www.buddy4study.com/scholarship/step-elearn-general-communication-online-category-three,31-Dec-26,Effective English communication in spoken and written interactions,Adult learners and anyone seeking to improve English skills independently,N/A,N/A,N/A,N/A
UNIVERSITY OF AUCKLAND INDIA HIGH ACHIEVERS SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/university-of-auckland-india-high-achievers-scholarship-2026,Closed,"Up to $20,000","Indian students pursuing UG, PG, and PG Diploma courses","About The Program The University of Auckland India High Achievers Scholarship 2026 is an opportunity offered by the University of Auckland to Indian students pursuing UG, PG, and PG Diploma courses. This scholarship aims to attract international talent by supporting their education at Waipapa Taumata Rau, University of Auckland. The selected candidates shall receive a scholarship of up to $20,000 towards tuition fees.","To be eligible, an applicant must:- be an Indian student  hold a passport issued by the Government of India be residing outside of New Zealand at the time of application be either: A new student who has received a conditional or unconditional offer of admission; or   An English Language Academy (ELA) student who has received a conditional or unconditional offer of admission; or   A student enrolled in, or enrolling in, the Summer Start International Programme who has received a conditional or unconditional offer of admission Be enrolled or enrolling full-time in one of the following:   A Postgraduate Diploma (PGDip) or a master’s degree; or   An undergraduate degree (applying with overseas secondary or post-secondary qualifications); or   A University of Auckland (UoA) program","The selected candidates shall receive a scholarship of up to $20,000.",".Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: There is no separate application for this scholarship. The admission application is used by the Undergraduate Admissions Team at the university to assess the eligibility of a student."
UNIVERSITY OF AUCKLAND INTERNATIONAL STUDENT EXCELLENCE SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/university-of-auckland-international-student-excellence-scholarship-2026,Closed,"Up to $10,000","UG, PG, and PG Diploma applicants","About The Program The University of Auckland International Student Excellence Scholarship 2026 is an opportunity offered by the University of Auckland to international students enrolling in UG, PG, and PG Diploma courses. This scholarship aims to bring together students deeply interested in quantum sciences and engineering. The selected candidates shall receive a scholarship of up to $10,000 towards compulsory tuition fees.","To be eligible, an applicant must:- be an international student (not a citizen, permanent resident, or resident visa holder of New Zealand or Australia) be a new student with a conditional or unconditional offer of admission, or an English Language Academy (ELA) student with an offer, or enrolled/enrolling in the Summer Start International programme with an offer. be enrolled or enrolling full-time in an undergraduate degree, Postgraduate Diploma (PGDip), or master's degree at Waipapa Taumata Rau, University of Auckland. have a Grade Point Equivalent (GPE) of at least 6.00 for scholarship consideration. not have commenced study at the University of Auckland except for the Summer Start International programme. not have undertaken any tertiary-level study in New Zealand previously. not be enrolling in a Business master's programme in the Graduate School of Management (with a few exceptions specified) enrol full-time for at least two semesters at the University of Auckland during the scholarship tenure.","The selected candidates shall receive a scholarship of up to $10,000.","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: There is no separate application for this scholarship. The admission application is used by the Undergraduate Admissions Team at the university to assess the eligibility of a student."
IGSTC INDUSTRIAL FELLOWSHIPS 2026,https://www.buddy4study.com/scholarship/igstc-industrial-fellowships-2026,Closed,"A monthly stipend of up to €2,500",Ph.D. students,"About The Program Industrial Fellowships 2026 is an initiative by the Indo-German Science & Technology Centre (IGSTC), which was established by the Department of Science and Technology (DST), Government of India and the Federal Ministry of Education and Research (BMBF) for PhD students. The aim of this fellowship is to encourage and enable Indo-German collaboration between industry-academia and industry-industry linkages through firsthand experience in industrial settings. The selected fellows will be awarded €2,500 per month with other benefits.","To be eligible, an applicant must: be an Indian citizen be pursuing a Ph.D. in Science/Engineering in their second year or beyond be below 35 years of age be a Ph.D. degree awardee from the Indian research institute","The selected fellows will receive the stipend in the below-mentioned manner:  Particulars Amount PhD Industrial Exposure Fellowship €1500/month (approximately ₹1,38,532) Post-Doctoral Industrial Fellowship €2500/month (approximately ₹2,30,845) Fellows will also receive: Single round-trip airfare, Visa Insurance of an amount up to €1000 A monthly health insurance of a maximum  €100","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and fill in the required registration details. (Note:- If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Navigate to the 'How to Apply' section and click on the online application link. Step 4: Click the sign up option and register for a new account. Step 5: Fill out the required information, then click ‘Submit’. Step 6: Click the verification button sent to the provided email address and log in with valid credentials. Step 7: Fill in the required information, upload the necessary documents and submit the application."
REHAM AL-FARRA MEMORIAL JOURNALISM FELLOWSHIP 2026,https://www.buddy4study.com/scholarship/reham-al-farra-memorial-journalism-fellowship-2026,Last day to go,Variable Benefits,Full-time working journalists,About The Program The United Nations offers the Reham Al-Farra Memorial Journalism Fellowship 2026. The fellowship is a prestigious programme designed to support outstanding working journalists from developing countries and economies in transition. Selected fellows will gain variable benefits.,"To be eligible, an applicant must:- be a full-time working journalist between 22 and 35 years of age be a national of an eligible developing country or country with an economy in transition (as listed on the official programme page) have published work samples  demonstrate proficiency in English Note:- Freelance journalists are eligible to apply, provided they submit strong work samples and documentation of press accreditation. Students or teaching professionals in journalism are not eligible.",Selected fellows will receive variable benefits.,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down to the ‘un.org/en/raf/application2026’ and click on the link. Step 4: Fill in the required details and upload the necessary documents. Step 5: Click on the 'Submit' button."
IIT DELHI SUMMER RESEARCH FELLOWSHIP 2026,https://www.buddy4study.com/scholarship/iit-delhi-summer-research-fellowship-2026,Last day to go,"Fellowship of ₹2,000 per week",Undergraduate and M.Tech/M.E. applicants from engineering institutes,"About The Program The IIT Delhi Summer Research Fellowship 2026 is offered by the Indian Institute of Technology Delhi. The fellowship provides an exceptional opportunity for outstanding undergraduate and M.Tech/M.E. students from engineering institutes across India to conduct innovative research and development projects under the direct guidance of IIT Delhi faculty. Selected candidates will receive a fellowship of ₹2,000 per week along with travel support and free boarding and lodging at the institute during the fellowship period.","To be eligible, an applicant must:- be a student from any engineering institute in India except IIT Delhi be an Undergraduate student who has completed at least 2 years of study towards an engineering degree OR be an M.Tech/M.E. student who has completed at least the 1st Semester of study be within the top ten ranks in their respective programme/branch (For M.Tech/M.E.) have secured at least 70% marks or a CGPA of 7.00 on a 10-point scale at the end of the 1st Semester","The selected students will receive the following benefits during the 8-week fellowship period: Fellowship of ₹2,000 per week Cost of travel (train – sleeper class only) within India to and from IIT Delhi Boarding and lodging in the IIT Delhi institute hostels during the stay Registration as a visiting student at IIT Delhi (no registration fee charged)","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the ‘How to Apply’ button. Step 4: Click on the ‘Register now’ button. Step 5: Fill in the mandatory fields, then click the ‘Register me’ button. Step 6: Login with your credentials and proceed with your application."
