Name,Logo,Relative_Path,Link,Deadline,Award,Eligibility,About,Eligibility_Detail,Benefits,Documents,How_to_Apply,Important_Dates,Selection_Criteria,Terms_and_Conditions,Contact_Details,Important_Links,FAQs
COLLEGE BOARD 90% FEE WAIVER PROGRAM,logos\COLLEGE_BOARD_90%_FEE_WAIVER_PROGRAM.jpeg,/collegeboard,https://www.buddy4study.com/collegeboard,21-May-26,Tuition fee waiver,Class 11 and 12,N/A,Resident of India Student in Class XI or XII Annual Family Income less than ₹8 Lakhs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Q: What is the SAT? | A: The SAT is the world’s most widely used standardized test for undergraduate studies and measures students on their reading, writing, and math skills. The SAT is a global passport, enabling students to apply to universities around the world. It measures essential skills—such as reading, writing, and math—that students learn in school and need to succeed in college. The SAT allows students to present their academic strengths to universities in a standardized way. The combination of test scores and grades is a strong predictor of college success. Since grading systems and curricula vary across schools and countries, the SAT serves as a useful common measure to highlight students’ potential beyond their school transcripts.  SAT is administered 8 times in a year. You may check the SAT dates and deadlines here: https://satsuite.collegeboard.org/sat/dates-deadlines Universities all over the world trust the SAT to provide useful information about how well-prepared a student is for university-level coursework. https://international.collegeboard.org/students/sat/taking-sat-around-world SAT acceptance in India: India Universities that accept SAT as part of their admission process. https://international.collegeboard.org/students/sat/acceptance-india || Q: Who Can Get an SAT Discount and How can I request for a SAT fee reduction voucher from Buddy4Study and redeem it? | A: The SAT is administered at more than 181 test centers across over 65+ cities in India. To find a test center near you, visit the official website: https://satsuite.collegeboard.org/sat/test-center-search. || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How to prepare for SAT Exam? | A: The SAT is composed of two sections: (1) the Reading and Writing section, and (2) the Math section. You have 64 minutes to complete the Reading and Writing section and 70 minutes to complete the Math section for a total of 2 hours and 14 minutes. Each section is divided into 2 equal length modules, and there is a 10-minute break between the Reading and Writing section and the Math section. The first module of each section contains a broad mix of easy, medium, and hard questions. Based on how you perform on the first module, the second module of questions will either be more difficult or less difficult. https://satsuite.collegeboard.org/sat/whats-on-the-test/structure || Q: How to prepare for SAT Exam? | A: The SAT is composed of two sections: (1) the Reading and Writing section, and (2) the Math section. You have 64 minutes to complete the Reading and Writing section and 70 minutes to complete the Math section for a total of 2 hours and 14 minutes. Each section is divided into 2 equal length modules, and there is a 10-minute break between the Reading and Writing section and the Math section. The first module of each section contains a broad mix of easy, medium, and hard questions. Based on how you perform on the first module, the second module of questions will either be more difficult or less difficult. https://satsuite.collegeboard.org/sat/whats-on-the-test/structure || Q: How to send your SAT scores directly to colleges? | A: Whether you're taking the SAT Weekend or PSAT/NMSQT, PSAT 10, or PSAT 8/9, find your free practice resources here: https://satsuite.collegeboard.org/practice || Q: How to send your SAT scores directly to colleges? | A: Whether you're taking the SAT Weekend or PSAT/NMSQT, PSAT 10, or PSAT 8/9, find your free practice resources here: https://satsuite.collegeboard.org/practice || Q: If I have any queries, whom should I contact? | A: Find more about how to access your SAT scores from weekend administrations and what to do next. https://satsuite.collegeboard.org/scores/sat Send SAT Scores: You can send your scores to colleges, scholarship organizations, and other educational institutions. https://satsuite.collegeboard.org/scores/sending-sat-scores"
MASTERS' UNION: SCHOLARSHIP-CUM-ADMISSION SEATS (SAS) PROGRAM 2025 (UG IN DATA SCIENCE & ARTIFICIAL INTELLIGENCE),logos\MASTERS'_UNION_SCHOLARSHIP-CUM-ADMISSION_SEATS_(SA.png,/page/masters-union-scholarship-aptitude-test-2026,https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026,13-May-26,Tuition fee waiver of up to 80%,For Undergraduate students,"The Masters’ Union: Scholarship Aptitude Test 2026 aims to make world-class education accessible to deserving students. This scholarship is specifically designed for merit-based, high-potential candidates pursuing careers in Business Management, Technology, Data Science & AI, Design, Finance & Economics, Marketing and Psychology. By providing financial assistance and direct admission opportunities with tuition fee scholarships based on academic excellence and financial need.  About Masters’ Union  Masters’ Union is a new-age high education institute led by Ivy League alumni, industry practitioners and global leaders from Google, Microsoft, and Amazon. Masters’ Union is redefining education through an industry-driven and experiential learning approach with real-world exposure and technology to create a practical and future-ready learning environment. Its mission is to bridge the gap between classroom learning and industry emerging requirements by bringing industry-ready leaders, entrepreneurs, and changemakers capable of solving complex global challenges.  Masters' Union undergraduates have secured an average of ₹19 LPA in Pre-P","Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,N/A,"Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: Which courses are covered under this scholarship? | A: Indian citizens who are Class 12 students from any recognised education boards and are currently studying or passed in 2025 with an interest in Business Management, Technology, Data Science & AI, Finance & Economics, Design,Marketing and Psychology can apply. || Q: Which courses are covered under this scholarship? | A: Indian citizens who are Class 12 students from any recognised education boards and are currently studying or passed in 2025 with an interest in Business Management, Technology, Data Science & AI, Finance & Economics, Design,Marketing and Psychology can apply. || Q: What is the scholarship amount offered under this programme? | A: The scholarship is applicable for undergraduate programmes, including Tech & Business Management, Psychology & Marketing, Finance & Economics, Design,Data Science & Artificial Intelligence. || Q: Is the scholarship purely merit-based? | A: Scholarships range from 10% to 80% tuition fee waivers, depending on the course and the applicant’s performance in qualifying exams such as MUSAT, CUET, IPMAT, JEE, or SAT. || Q: What is the total fee for programmes at Masters’ Union? | A: Yes, this programme primarily awards scholarships based on academic merit and performance in recognised aptitude or entrance exams."
BUDDY4STUDY PSYCHOMETRIC TEST,logos\BUDDY4STUDY_PSYCHOMETRIC_TEST.png,/page/buddy4study-career-test,https://www.buddy4study.com/page/buddy4study-career-test,31-Jul-26,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,"Buddy4Study Career Assesment Test is an all-in-one career guidance solution designed to help students make informed academic and career decisions. Combining the Stream Selector Test and Psychometric Test, it provides personalized insights into a student’s interests, strengths, and personality traits.  Whether you're unsure about choosing between Science, Commerce, or Arts, or exploring the right career path based on your abilities, the Buddy4Study Career Assessment Test offers data-driven recommendations to guide you. With clear, actionable reports, it empowers students to align their choices with long-term goals, making career planning simpler, smarter, and more effective.",Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,N/A,Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Buddy4Study Career Assessment Test? | A: The Buddy4Study Career Assessment Test is a career guidance programme launched by Buddy4Study. This program aims to assist Class 10 passed students in identifying their career prospects keeping in mind their personality, interests, skills, and preferences. || Q: What is the Buddy4Study Career Assessment Test? | A: The Buddy4Study Career Assessment Test is a career guidance programme launched by Buddy4Study. This program aims to assist Class 10 passed students in identifying their career prospects keeping in mind their personality, interests, skills, and preferences. || Q: How does the psychometric test work? | A: The programme is open to students who have passed Class 10 examination or who are pursuing higher education. || Q: What are the benefits of taking the stream selector test? | A: The psychometric test includes questions that check different aspects of a participant's personality, like their interests, skills, and preferences. The answers are then studied to create a unique career profile for each student. || Q: What are the benefits of participating in this programme? | A: The Stream Selector Test offers several benefits, primarily by helping students choose the right academic path in Class 11. It analyzes your personality, skills, and interests to provide smarter subject planning and career choices. The test also aids in self-understanding, allowing you to identify your true potential and make informed decisions about your future. || Q: How does the stream selector test works? | A: Through the Buddy4Study Career Test, participants discover their own strengths and get assistance in choosing the right careers. The program also provides a detailed report comprising suggestions and recommendations regarding areas of study and future career options. Moreover, a certificate of competition is also given to students after test completion. || Q: How does the stream selector test works? | A: Through the Buddy4Study Career Test, participants discover their own strengths and get assistance in choosing the right careers. The program also provides a detailed report comprising suggestions and recommendations regarding areas of study and future career options. Moreover, a certificate of competition is also given to students after test completion. || Q: How can I enroll in the Buddy4Study Career Assessment Test? | A: The stream selector determines the best academic streams for you in Class 11 by analyzing your personality, preferred activities, and subjects. It records your responses, identifies suitable matches, and generates a detailed report outlining your top stream options. || Q: How can I enroll in the Buddy4Study Career Assessment Test? | A: The stream selector determines the best academic streams for you in Class 11 by analyzing your personality, preferred activities, and subjects. It records your responses, identifies suitable matches, and generates a detailed report outlining your top stream options."
NURTR NURTURING MINDS WITH CHESS PROGRAM (90% FEE WAIVER) 2025-26,logos\NURTR_NURTURING_MINDS_WITH_CHESS_PROGRAM_(90%_FEE_.jpg,/nurtneo,https://www.buddy4study.com/nurtneo,31-Jul-26,90% fee waiver,School or college students under the age range of 5 to 25 years,"The ‘nurtr Nurturing Minds with Chess program is a collaborative effort between nurtr, a leading online chess academy, and Buddy4Study with the primary goal of utilizing the game of chess as a powerful tool for the holistic development and education of school and college students in India.",N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,N/A,N/A,N/A
STEP ELEARN – GENERAL COMMUNICATION ONLINE (54% DISCOUNT),logos\STEP_ELEARN_–_GENERAL_COMMUNICATION_ONLINE_(54%_DI.png,/scholarship/step-elearn-general-communication-online-category-three,https://www.buddy4study.com/scholarship/step-elearn-general-communication-online-category-three,31-Dec-26,Effective English communication in spoken and written interactions,Adult learners and anyone seeking to improve English skills independently,STEP eLearn,N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,Support Email: info@steptest.in Contact Number: +91 9789883344 Operational Hours: 10:00 AM – 6:30 PM (Weekdays),N/A,What is STEP eLearn? Do I get a certificate? Is there live support or coaching? What level is this course for? Can I access lessons on mobile? What if I can’t complete the course in time? Is refund available?
"NIRMAN SHRAMIK KALYAN YOJANA SCHOLARSHIP, ODISHA 2026-27","logos\NIRMAN_SHRAMIK_KALYAN_YOJANA_SCHOLARSHIP,_ODISHA_2.png",/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026,https://www.buddy4study.com/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026,30-Apr-26,"An annual financial assistance of up to ₹40,000",Students studying in Class 6 and above,"Nirman Shramik Kalyan Yojana Scholarship, Odisha 2026-27 is an opportunity offered by the Labour & ESI Department, Government of Odisha to General, ST, SC, OBC, SEBC, and EBC category students studying in Class 6 and above. The objective of this scheme is to provide financial support to the wards of construction workers for their studies. The selected students will receive educational assistance up to ₹40,000 per annum.",Students studying in Class 6 and above,"The selected candidates can receive the following benefits -   Particulars	Educational Assistance (in ₹ per annum) For Class 6 and 7 (to female children only)	2,000 For Class 8 (to all children)	2,000 For Class 9 (to all children)	3,000 For Class 10 (to all children)	4,000 Cash award to all children securing 90% or above in Class 10	10,000 For Class 11 and 12	5,000 For B.A., B.Sc.,B.Com. and PG studies	7,000 For B.Tech./B.C.A/M.B.A/B.Arch./M.Arch./M.Tech./M.Sc./B.Pharma./Hotel Management and catering services/Medical (includes allopathic, ayurvedic, and homeopathic) in government colleges only	40,000 For B.Ed/CT/Nursing training in government colleges	10,000  Note:- Female child will receive a 20% additional benefit over and above normal educational assistance.",Aadhaar card of the student Domicile certificate Aadhaar card of the parent registered with the Odisha Building and Other Construction Workers' Welfare (OB and OCWW) Board  Building and Other Construction (BOC) ID card of the parent Copy of passbook of parent's bank account with the account number and IFSC code of bank branch (parent must be a registered BOC worker) College ID card of the student Marksheet/certificate of qualifying examination,"Eligible candidates can apply by following these steps:- Step 1: Click the ‘Apply Now’ button below. Step 2: Click on the 'Register' button on the right-hand side of the dashboard and fill in the required details to 'Register'. (Note:- If already registered, log in using the registered email ID.) Step 3: Navigate to the 'Registration' tab, tick the check box, and click on the 'I Agree' button. Step 4: Read carefully and enter the required details to register. Step 5: After successful registration, log in with valid credentials. Step 6: Provide all necessary details like personal, academic eligibility, and bank information and click on the 'Save' button to draft the information Step 7: Click on the 'Next' to save and proceed with the scholarship form. Step 8: Upload the relevant documents and 'Submit' the application form.",Scholarship Deadline: 30 April 2026,The candidates will be selected based on the fulfilment of the eligibility criteria.,50% annual attendance is required to avail the scholarship benefits. The BOC beneficiary must have an active bank account with DBT enabled in their name. The registered BOC beneficiary must have made up-to-date annual contributions to the board.,"Labour & ESI Department, Government of Odisha 5th Floor, Kharavel Bhawan, Bhubaneswar-751001, Odisha Email ID: labsec.or@nic.in, labsec.or@gmail.com | Phone Number: (91)-674-2536770  Source: https://labour.odisha.gov.in/en",Apply online link,N/A
KIRAN PRATIBHA SCHOLARSHIP 2026,logos\KIRAN_PRATIBHA_SCHOLARSHIP_2026.png,/scholarship/kiran-pratibha-scholarship-2026,https://www.buddy4study.com/scholarship/kiran-pratibha-scholarship-2026,30-Apr-26,Tuition fee and other benefits,Students who have passed the 8th standard or are at least 14 years of age,"The Kiran Pratibha Scholarship 2026  is an opportunity provided by the Kiran Foundation to Students who have passed the 8th standard or are at least 14 years of age. This scholarship supports the education of highly talented, underprivileged students. The selected candidates shall receive tuition fee and other benefits.",Students who have passed the 8th standard or are at least 14 years of age,The selected candidates shall receive:  Tuition fees Study materials and equipments Boarding expenses Career guidance and mentorship,Identity proof Previous year marksheets Letter of Recommendation (2),"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down and click ‘Apply for Scholarship’ Step 4: Fill in the mentioned details in the application form and submit it.",Application Deadline: 30th April 2026,Students are selected based on their merit fulfilment of the eligibility criteria.,N/A,"Kiran Social Foundation  101 Sahil Veer Apartments,  Vandana Nagar,  Indore 452018 Madhya Pradesh Email ID: info@kiran.foundation | Contact Number: +91-9303997100 +91-9880141412 Source: kiran.foundation",Media Link Apply online link,Question: Who is offering this scholarship opportunity? Answer: The Kiran Foundation is offering this opportunity.   Question: Who can apply for this scholarship? Answer: Students who have passed the 8th standard or are at least 14 years of age are eligible for this scholarship.   Question: What are the benefits of this scholarship? Answer: The scholarship shall offer tuition fee and other benefits .    Question: What is the last date to apply for this scholarship? Answer: The application for this scholarship is 30th April 2026.
"PRE-MATRIC SCHOLARSHIP FOR OBC STUDENTS, DELHI 2025-26","logos\PRE-MATRIC_SCHOLARSHIP_FOR_OBC_STUDENTS,_DELHI_202.png",/scholarship/prematric-scholarship-for-obc-students-delhi-2025,https://www.buddy4study.com/scholarship/prematric-scholarship-for-obc-students-delhi-2025,31-May-26,Up to ₹500 per annum,OBC students in Classes 1 to 10,"Pre-Matric Scholarship for OBC Students, Delhi 2025-26 is an initiative of the Department for the Welfare of SC/ST/OBC/Minority, Government of NCT Delhi to the OBC category students studying in Classes 1 to 10 in Government schools. The selected students will receive up to ₹500 per month.",OBC students in Classes 1 to 10,"Selected students will receive:-  Day Scholars: ₹100 per month (class 1 to 10, minimum 60% attendance in previous year) Hostelers: ₹500 per month (class 3 to 10)","Caste certificate in the name of student or father issued by SDM/Deputy Commissioner (Revenue), GNCT of Delhi Mark sheet of the previous academic year Income certificate issued by competent authorities (SDM/Deputy Commissioner of Revenue, GNCTD)  Domicile certificate by the competent authority (Government of NCT of Delhi) Bank account in the name of the student (must linked with the Aadhaar card","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click on it.  Step 4: Now, click on the 'Register' button, select the Aadhaar card for the document type, and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button to register. Step 6: After successful registration, log in using the credentials (user ID, password, and captcha code).  Step 7: Select the scholarship scheme and fillin  the relevant details. Step 8: Upload the required documents in the prescribed format and click on the 'Submit' button.",Application Deadline: 31st March 2026,The selection will be based on the fulfilment of the eligibility criteria.,N/A,"Department for the Welfare of SC/ST/OBC/Minorities B-Block, 2nd Floor Vikas Bhawan, I.P. Estate New Delhi-110002 Phone Number: (011) 23379512  Source : https://scstwelfare.delhi.gov.in/",Media Link Apply online link,"Question: Are all pre-matric students eligible for this scholarship? Answer: Yes, all students from class 1 through 10 are eligible.  Question: Is there a merit requirement for this scholarship? Answer: A minimum of 75% of marks in the previous academic year is required to be eligible for this scholarships.  Question: Who is providing this scholarship? Answer: The Department for the Welfare of SC/ST/OBC/Minority, Government of NCT of Delhi is offering this opportunity​​​​​​.  Question: How will the students receive the award? Answer: The award will be disbursed into the Aadhaar-linked bank account of the student.  Question: Is this scholarship renewable? Answer: The scholarship is renewable until the student passes Class 10, subject to satisfactory academic performance and 75% annual attendance."
"REIMBURSEMENT OF TUITION FEE FOR SC/ST/OBC (SCHOOL), DELHI 2025-26","logos\REIMBURSEMENT_OF_TUITION_FEE_FOR_SCSTOBC_(SCHOOL),.png",/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025,https://www.buddy4study.com/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-school-delhi-2025,31-May-26,"Reimbursement of tuition, lab, and library fees up to ₹48,000 or actual paid, whichever is less",SC/ST/OBC/minority students in Classes 1 to 12,"Reimbursement of Tuition Fee for SC/ST/OBC (School), Delhi 2025-26 is an opportunity offered by the Department for the Welfare of SC/ST, Government of NCT of Delhi, for students studying in Classes 1 to 12. This scholarship aims to provide reimbursement of the tuition and other compulsory fees to SC, ST OBC, and minority students studying in recognised public schools in Delhi. The selected students will receive up to a 100% reimbursement.",SC/ST/OBC/minority students in Classes 1 to 12,"The selected students will receive reimbursement as follows:-  For income up to ₹60,000: 100% For income of ₹60,001 - ₹2,00,000: 75%","Income certificate issued by the competent authority of Delhi Caste certificate (SC/ST/OBC) issued in the name of the student or his father’s name by SDM/Deputy Commissioner (Revenue), Government of National Capital Territory of Delhi (GNCTD) Domicile certificate by the competent authority of Govt. of NCT of Delhi Marksheet of the previous academic year Aadhaar-seeded bank account details of the student (Note:- A joint bank account with a parent/guardian is also permissible) Original fee receipts for the current academic session","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click on the 'Register' button and fill in the required details to register (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to 'Apply Services' and click the 'Register' button. Step 4: Select the Aadhaar card for the document type and enter the Aadhaar number and captcha code.  Step 5: Tick the checkbox and click on the 'Continue' button. Step 6: Now, log in using the credentials (user ID, password, and captcha code).  Step 7: Enter the relevant details and select the scholarship scheme. Step 8: Upload the required documents and click on the 'Submit' button.",Application deadline: 31 May 2026,The students will be selected based on the fulfilment of the eligibility criteria.,N/A,"Welfare of SC/ST, Government of NCT of Delhi B-Block, 2nd floor, Vikas bhawan, Government of NCT of Delhi Department I.P. Estate New Delhi - 110002 Phone number: 011-23379512  Source : https://scstwelfare.delhi.gov.in/",Apply online link Media Link,N/A
VIGYAN JYOTI SCHEME,logos\VIGYAN_JYOTI_SCHEME.png,/scholarship/vigyan-jyoti-scheme,https://www.buddy4study.com/scholarship/vigyan-jyoti-scheme,31-Dec-28,"₹2,000 per month",Female students in class 9 and above,"The Vigyan Jyoti Scheme is an opportunity offered by the Government of India for female students in STEM. The scheme envisages hand-holding and interventions right from the school level, that is, from Class IX and continues till the PhD level to encourage girls to pursue a career in underrepresented areas of STEM. Selected candidates will receive ₹2,000 per month.",Female students in class 9 and above,"Selected candidates will receive ₹2,000 per month.",N/A,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Students are nominated through state or district-level bodies. Selected candidates are informed about further steps.",Application Deadline: 31 December 2028,Candidates will be selected based on merit and fulfilment of the eligibility criteria.,N/A,Vigyan Jyoti Email ID: vjscholars.help@gmail.com Source: www.indiascienceandtechnology.gov.in,Media Link Apply online link,"Question: Who is offering this opportunity? Answer: This opportunity is a collaborative initiative between the Department of Science & Technology (DST), Government of India, and the Centre for Civil Society (CCS).  Question: Are there extra benefits for disabled students? Answer: All candidates will receive equal benefits.  Question: What is the mode of application? Answer: The eligible candidates are nominated and communicated through the responsible bodies."
