Name,Logo,Relative_Path,Link,Deadline,Award,Eligibility,About,Eligibility_Detail,Benefits,Documents,How_to_Apply,Important_Dates,Selection_Criteria,Terms_and_Conditions,Contact_Details,Important_Links,FAQs
COLLEGE BOARD 90% FEE WAIVER PROGRAM,logos\COLLEGE_BOARD_90%_FEE_WAIVER_PROGRAM.jpeg,/collegeboard,https://www.buddy4study.com/collegeboard,21-May-26,Tuition fee waiver,Class 11 and 12,N/A,Resident of India Student in Class XI or XII Annual Family Income less than ₹8 Lakhs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Q: What is the SAT? | A: The SAT is the world’s most widely used standardized test for undergraduate studies and measures students on their reading, writing, and math skills. The SAT is a global passport, enabling students to apply to universities around the world. It measures essential skills—such as reading, writing, and math—that students learn in school and need to succeed in college. The SAT allows students to present their academic strengths to universities in a standardized way. The combination of test scores and grades is a strong predictor of college success. Since grading systems and curricula vary across schools and countries, the SAT serves as a useful common measure to highlight students’ potential beyond their school transcripts.  SAT is administered 8 times in a year. You may check the SAT dates and deadlines here: https://satsuite.collegeboard.org/sat/dates-deadlines Universities all over the world trust the SAT to provide useful information about how well-prepared a student is for university-level coursework. https://international.collegeboard.org/students/sat/taking-sat-around-world SAT acceptance in India: India Universities that accept SAT as part of their admission process. https://international.collegeboard.org/students/sat/acceptance-india || Q: Who Can Get an SAT Discount and How can I request for a SAT fee reduction voucher from Buddy4Study and redeem it? | A: The SAT is administered at more than 181 test centers across over 65+ cities in India. To find a test center near you, visit the official website: https://satsuite.collegeboard.org/sat/test-center-search. || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How long is the SAT test and what is tested in the exam? | A: Income-eligible students who live in India and are in Class XI or XII can apply for discount vouchers that will save them up to 90% on SAT registration fees. 90% SAT registration discount: Annual family income less than ₹8 lakh 50% SAT registration discount: Annual family income between ₹8 lakh and ₹15 lakh Every eligible student who applies for an SAT discount voucher will get one. Students use these vouchers when they register for the SAT online. Apply for discount here: https://www.buddy4study.com/collegeboard Students who meet the eligibility criteria for a 50% or 90% discount can request an SAT fee reduction voucher by clicking on “Avail SAT Discount Voucher” on the Buddy4Study platform. Once the discounted SAT fee is paid, the voucher code will be sent to you within two working days. To redeem the voucher, students must register and apply it on the College Board SAT registration website. The voucher must be redeemed within 15 days of receipt from Buddy4Study or before the registration deadline, whichever comes first. Learn more about College Board India Scholars Program here:https://international.collegeboard.org/students/sat/india-scholars-program || Q: How to prepare for SAT Exam? | A: The SAT is composed of two sections: (1) the Reading and Writing section, and (2) the Math section. You have 64 minutes to complete the Reading and Writing section and 70 minutes to complete the Math section for a total of 2 hours and 14 minutes. Each section is divided into 2 equal length modules, and there is a 10-minute break between the Reading and Writing section and the Math section. The first module of each section contains a broad mix of easy, medium, and hard questions. Based on how you perform on the first module, the second module of questions will either be more difficult or less difficult. https://satsuite.collegeboard.org/sat/whats-on-the-test/structure || Q: How to prepare for SAT Exam? | A: The SAT is composed of two sections: (1) the Reading and Writing section, and (2) the Math section. You have 64 minutes to complete the Reading and Writing section and 70 minutes to complete the Math section for a total of 2 hours and 14 minutes. Each section is divided into 2 equal length modules, and there is a 10-minute break between the Reading and Writing section and the Math section. The first module of each section contains a broad mix of easy, medium, and hard questions. Based on how you perform on the first module, the second module of questions will either be more difficult or less difficult. https://satsuite.collegeboard.org/sat/whats-on-the-test/structure || Q: How to send your SAT scores directly to colleges? | A: Whether you're taking the SAT Weekend or PSAT/NMSQT, PSAT 10, or PSAT 8/9, find your free practice resources here: https://satsuite.collegeboard.org/practice || Q: If I have any queries, whom should I contact? | A: Find more about how to access your SAT scores from weekend administrations and what to do next. https://satsuite.collegeboard.org/scores/sat Send SAT Scores: You can send your scores to colleges, scholarship organizations, and other educational institutions. https://satsuite.collegeboard.org/scores/sending-sat-scores"
MASTERS' UNION: SCHOLARSHIP-CUM-ADMISSION SEATS (SAS) PROGRAM 2025 (UG IN DATA SCIENCE & ARTIFICIAL INTELLIGENCE),logos\MASTERS'_UNION_SCHOLARSHIP-CUM-ADMISSION_SEATS_(SA.png,/page/masters-union-scholarship-aptitude-test-2026,https://www.buddy4study.com/page/masters-union-scholarship-aptitude-test-2026,13-May-26,Tuition fee waiver of up to 80%,For Undergraduate students,"The Masters’ Union: Scholarship Aptitude Test 2026 aims to make world-class education accessible to deserving students. This scholarship is specifically designed for merit-based, high-potential candidates pursuing careers in Business Management, Technology, Data Science & AI, Design, Finance & Economics, Marketing and Psychology. By providing financial assistance and direct admission opportunities with tuition fee scholarships based on academic excellence and financial need.  About Masters’ Union  Masters’ Union is a new-age high education institute led by Ivy League alumni, industry practitioners and global leaders from Google, Microsoft, and Amazon. Masters’ Union is redefining education through an industry-driven and experiential learning approach with real-world exposure and technology to create a practical and future-ready learning environment. Its mission is to bridge the gap between classroom learning and industry emerging requirements by bringing industry-ready leaders, entrepreneurs, and changemakers capable of solving complex global challenges.  Masters' Union undergraduates have secured an average of ₹19 LPA in Pre-P","Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,N/A,"Applicants must be currently enrolled in Class 12 (any recognised education boards) or have completed it in 2025. Must be aiming to pursue a full-time undergraduate programme in Business Management, Technology, Leadership, Data Science & AI, Design,Finance & Economics, Marketing or related fields. Assessment Requirement: All applicants must appear for the Masters' Union Scholarship  Aptitude Test (MUSAT) or qualify for an approved alternate test.  Note: Check Masters’ Union official website to ensure accuracy on eligibility Masters' Union Scholarship Aptitude Test (MUSAT): The MUSAT is an online aptitude test that evaluates analytical, numerical, and logical reasoning skills for scholarship consideration.  Selection Criteria  Test Structure:  Total Questions: 45 (15 each in Numerical Ability, Data Interpretation, and Logical Reasoning) Total Marks: 45 Duration: 90 minutes Mode: Online Negative Marking: None Allowed: Calculators, pen, paper, and water  Test Preparation:  Practice materials and a mock test are provided Students have a 30-day window to attempt the test  Scoring Requirements:  Qualifying score for admission: 25 marks Scholarship eligibility: Minimum 35 marks  Selection Criteria:  Selection is based on a holistic review of academic performance, background, and MUSAT results Exemption from MUSAT: CUET: 600/800 or above – Eligible for exemption IPMAT: 200/360 or above – Eligible for exemption SAT: 1400/1600 or above – Eligible for exemption",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: What is the Masters’ Union: Scholarship Aptitude Test 2026? | A: This programme is a merit-based scholarship initiative by Masters’ Union that offers tuition fee scholarships along with direct admission opportunities to high-potential students. || Q: Which courses are covered under this scholarship? | A: Indian citizens who are Class 12 students from any recognised education boards and are currently studying or passed in 2025 with an interest in Business Management, Technology, Data Science & AI, Finance & Economics, Design,Marketing and Psychology can apply. || Q: What is the scholarship amount offered under this programme? | A: The scholarship is applicable for undergraduate programmes, including Tech & Business Management, Psychology & Marketing, Finance & Economics, Design,Data Science & Artificial Intelligence. || Q: Is the scholarship purely merit-based? | A: Scholarships range from 10% to 80% tuition fee waivers, depending on the course and the applicant’s performance in qualifying exams such as MUSAT, CUET, IPMAT, JEE, or SAT. || Q: What is the total fee for programmes at Masters’ Union? | A: Yes, this programme primarily awards scholarships based on academic merit and performance in recognised aptitude or entrance exams."
BUDDY4STUDY PSYCHOMETRIC TEST,logos\BUDDY4STUDY_PSYCHOMETRIC_TEST.png,/page/buddy4study-career-test,https://www.buddy4study.com/page/buddy4study-career-test,31-Jul-26,"Report, certificate & many more",Candidates must have passed Class 10 or must be pursuing higher education.,"Buddy4Study Career Assesment Test is an all-in-one career guidance solution designed to help students make informed academic and career decisions. Combining the Stream Selector Test and Psychometric Test, it provides personalized insights into a student’s interests, strengths, and personality traits.  Whether you're unsure about choosing between Science, Commerce, or Arts, or exploring the right career path based on your abilities, the Buddy4Study Career Assessment Test offers data-driven recommendations to guide you. With clear, actionable reports, it empowers students to align their choices with long-term goals, making career planning simpler, smarter, and more effective.",Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,N/A,Candidates must have passed Class 10 or must be pursuing higher education.  Programme Fee: ₹299   Note: The programme offers fee waivers to support economically underprivileged students in taking the assessment.,N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the Buddy4Study Career Assessment Test? | A: The Buddy4Study Career Assessment Test is a career guidance programme launched by Buddy4Study. This program aims to assist Class 10 passed students in identifying their career prospects keeping in mind their personality, interests, skills, and preferences. || Q: What is the Buddy4Study Career Assessment Test? | A: The Buddy4Study Career Assessment Test is a career guidance programme launched by Buddy4Study. This program aims to assist Class 10 passed students in identifying their career prospects keeping in mind their personality, interests, skills, and preferences. || Q: How does the psychometric test work? | A: The programme is open to students who have passed Class 10 examination or who are pursuing higher education. || Q: How does the psychometric test work? | A: The programme is open to students who have passed Class 10 examination or who are pursuing higher education. || Q: What are the benefits of taking the stream selector test? | A: The psychometric test includes questions that check different aspects of a participant's personality, like their interests, skills, and preferences. The answers are then studied to create a unique career profile for each student. || Q: What are the benefits of participating in this programme? | A: The Stream Selector Test offers several benefits, primarily by helping students choose the right academic path in Class 11. It analyzes your personality, skills, and interests to provide smarter subject planning and career choices. The test also aids in self-understanding, allowing you to identify your true potential and make informed decisions about your future. || Q: How does the stream selector test works? | A: Through the Buddy4Study Career Test, participants discover their own strengths and get assistance in choosing the right careers. The program also provides a detailed report comprising suggestions and recommendations regarding areas of study and future career options. Moreover, a certificate of competition is also given to students after test completion. || Q: How can I enroll in the Buddy4Study Career Assessment Test? | A: The stream selector determines the best academic streams for you in Class 11 by analyzing your personality, preferred activities, and subjects. It records your responses, identifies suitable matches, and generates a detailed report outlining your top stream options. || Q: How can I enroll in the Buddy4Study Career Assessment Test? | A: The stream selector determines the best academic streams for you in Class 11 by analyzing your personality, preferred activities, and subjects. It records your responses, identifies suitable matches, and generates a detailed report outlining your top stream options."
NURTR NURTURING MINDS WITH CHESS PROGRAM (90% FEE WAIVER) 2025-26,logos\NURTR_NURTURING_MINDS_WITH_CHESS_PROGRAM_(90%_FEE_.jpg,/nurtneo,https://www.buddy4study.com/nurtneo,31-Jul-26,90% fee waiver,School or college students under the age range of 5 to 25 years,"The ‘nurtr Nurturing Minds with Chess program is a collaborative effort between nurtr, a leading online chess academy, and Buddy4Study with the primary goal of utilizing the game of chess as a powerful tool for the holistic development and education of school and college students in India.",N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,N/A,N/A,N/A
STEP ELEARN – GENERAL COMMUNICATION ONLINE (54% DISCOUNT),logos\STEP_ELEARN_–_GENERAL_COMMUNICATION_ONLINE_(54%_DI.png,/scholarship/step-elearn-general-communication-online-category-three,https://www.buddy4study.com/scholarship/step-elearn-general-communication-online-category-three,31-Dec-26,Effective English communication in spoken and written interactions,Adult learners and anyone seeking to improve English skills independently,STEP eLearn,N/A,N/A,N/A,"Click ""Apply Now"" below. Login to Buddy4Study or register with your email/mobile/Gmail. Navigate to the ""Application Form Page."" Click ""Start Application."" Fill in required details and upload documents. Accept Terms and Conditions, then click ""Preview."" Review details and click ""Submit"" to complete application.",N/A,N/A,N/A,Support Email: info@steptest.in Contact Number: +91 9789883344 Operational Hours: 10:00 AM – 6:30 PM (Weekdays),N/A,What is STEP eLearn? Do I get a certificate? Is there live support or coaching? What level is this course for? Can I access lessons on mobile? What if I can’t complete the course in time? Is refund available?
NILAM PATEL BAHUSHRUT FOUNDATION HSC & ABOVE STUDENTS SCHOLARSHIP 2025,logos\NILAM_PATEL_BAHUSHRUT_FOUNDATION_HSC_&_ABOVE_STUDE.png,/scholarship/nilam-patel-bahushrut-foundation-hsc-above-students-scholarship-2025,https://www.buddy4study.com/scholarship/nilam-patel-bahushrut-foundation-hsc-above-students-scholarship-2025,Tentative launch date May 2026,"A scholarship assistance, prizes and awards","Hearing-impaired students in HSC, UG, PG level in Gujarat & Maharashtra","Nilam Patel Bahushrut Foundation HSC & Above Students Scholarship 2025 is an initiatve by the Nilam Patel Bahushrut Foundation (a public charitable trust) to support hearing-impaired students from Gujarat and Maharashtra. The selected students will receive scholarships, prizes and awards for higher studies.","Hearing-impaired students in HSC, UG, PG level in Gujarat & Maharashtra","The top 7 students will be awarded scholarships, prizes and recognition for their academic excellence. The awards are presented as follows:  Manubhai D Shah Award for Academic Excellence - 1st Rank holder at SSC level Vasumati M Shah Award for Academic Excellence - 2nd Rank holder at SSC level Pushpaben R Vora Award for Academic Excellence - 1st Rank holder at HSC level Jayaben N Parikh Award for Academic Excellence - 2nd Rank holder at HSC level Dayabhai C Sutaria Award for Academic Excellence - 1st Rank holder at Graduate level Padmavati D Sutaria Award for Academic Excellence - 2nd Rank holder at Graduate level Maniben Chunilal Sutaria Award for Academic Excellence - 1st Rank holder at Post Graduate level",HSC/graduate/postgraduate level certificate & marksheet Disability certificate Latest audiogram taken at a government hospital or institute Latest passport-size photograph  Evidence of admission in college or institute (for HSC students only),"Eligible candidates can apply for the opportunity by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and enter the required registration details. (Note - If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Navigate to 'Application Form- HSC and above level' and download it. Step 4: Fill in the details required in the application form and attach the required documents. Step 5: Send the application to the administrative office of the trust by post to the below address:  Nilam Patel Bahushrut Foundation 303, Aries Palms, Tower – B 5/6 Shobhana Nagar Vasana Road, Vadodara, 390015 Gujarat, India",Application End Date: 31st August 2025,The candidates will be selected based on the fulfilment of the eligibility criteria.,No correspondence will be entertained in case of the non-eligibility of the candidate.,"Nilam Patel Bahushrut Foundation 303, Aries Palms, Tower – B 5/6 Shobhana Nagar Vasana Road, Vadodara - 390015 Gujarat, India Email ID: npbf@bahushrutfoundation.org, nilampatel62@gmail.com  Telephone Number: (+91)-265-2250157 Source: Nilam Patel Bahushrut Foundation",Apply online link Original website Latest scholarship link,"Question: Can I apply if I am taking a gap year before higher studies? Answer: Yes, students who have completed HSC or above and are taking a gap year can apply, as long as they have proof of admission for the upcoming academic year.  Question: What happens if I fail to submit all required documents? Answer: Incomplete applications are automatically disqualified, so applicants must ensure they submit all necessary documents before the deadline.  Question: Where can I find official updates and announcements? Answer: Visit the Nilam Patel Bahushrut Foundation website for the latest updates, application forms, and deadlines.  Question: What happens if I receive admission after the application deadline? Answer: If your university admission confirmation arrives after August 31st, you may need to apply for the next cycle. The foundation does not accept late applications.  Question: Is there a renewal process for the scholarship? Answer: No, the scholarship is awarded as a one-time financial aid, and students must reapply if they seek funding for subsequent years."
NILAM PATEL BAHUSHRUT FOUNDATION SSC STUDENTS SCHOLARSHIP 2025,logos\NILAM_PATEL_BAHUSHRUT_FOUNDATION_SSC_STUDENTS_SCHO.jpg,/scholarship/nilam-patel-bahushrut-foundation-ssc-students-scholarship-2025,https://www.buddy4study.com/scholarship/nilam-patel-bahushrut-foundation-ssc-students-scholarship-2025,Tentative launch date May 2026,"Scholarships, prizes and special awards",Hearing impaired Class 10 passed students of Gujarat and Maharashtra,Nilam Patel Bahushrut Foundation SSC Students Scholarship 2025 is an initiative of the Nilam Patel Bahushrut Foundation (a public charitable trust) to support hearing-impaired students from Gujarat and Maharashtra. This scholarship is available only to students who have passed the SSC level examination in 2025. The main objective of this program is to promote equal opportunities by awarding annual merit-based scholarships and prizes to deserving hearing-impaired students.,Hearing impaired Class 10 passed students of Gujarat and Maharashtra,"The top 7 students will be awarded scholarships, prizes and recognition for their academic excellence. The awards are presented as follows:  Manubhai D Shah Award for Academic Excellence - 1st Rank holder at SSC level Vasumati M Shah Award for Academic Excellence - 2nd Rank holder at SSC level Pushpaben R Vora Award for Academic Excellence - 1st Rank holder at HSC level Jayaben N Parikh Award for Academic Excellence - 2nd Rank holder at HSC level Dayabhai C Sutaria Award for Academic Excellence - 1st Rank holder at Graduate level Padmavati D Sutaria Award for Academic Excellence - 2nd Rank holder at Graduate level Maniben Chunilal Sutaria Award for Academic Excellence - 1st Rank holder at Post Graduate level",The candidates are required to submit the duly certified (attested as true copy) copies of the following documents:-  SSC Board examination certificate and marksheet School leaving certificate Preliminary Examination Certificate (Note: Typed marksheet on school letterhead will also be accepted.) Latest audiogram taken at a government hospital or institute Disability certificates A latest passport-size photograph,"Eligible candidates can apply for the opportunity by following these steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and enter the required registration details. (Note - If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Navigate to 'Application Form-SSC Level' and download it. Step 4: Fill in the details required in the application form and attach the required documents. Step 5: Send the application to the administrative office of the trust by post to the below address:  Nilam Patel Bahushrut Foundation 303, Aries Palms, Tower – B 5/6 Shobhana Nagar Vasana Road, Vadodara, 390015 Gujarat, India",Application End Date: 31st August 2025 Scholarship Disbursement: October 2025 (first week),The candidates will be selected based on the fulfilment of the eligibility criteria.,N/A,"Nilam Patel Bahushrut Foundation 303, Aries Palms, Tower – B 5/6 Shobhana Nagar Vasana Road, Vadodara - 390015 Gujarat, India Email ID: npbf@bahushrutfoundation.org, nilampatel62@gmail.com | Phone Number: (+91)-265-2250157 Source: Nilam Patel Bahushrut Foundation",Apply online link Media Link,N/A
"VIDYADHAN CLASS 11 AND 12 SCHOLARSHIP PROGRAM, GUJARAT 2025","logos\VIDYADHAN_CLASS_11_AND_12_SCHOLARSHIP_PROGRAM,_GUJ.png",/scholarship/vidyadhan-gujarat-class-11-and-12-scholarship-program-2024,https://www.buddy4study.com/scholarship/vidyadhan-gujarat-class-11-and-12-scholarship-program-2024,Tentative launch date May 2026,"₹10,000 per annum",Class 10 passed school students,"Vidyadhan Gujarat Class 11 and 12 Scholarship Program 2025 is an opportunity offered by the Sarojini Damodaran Foundation to Class 10 passed students of the state. The selected candidates will receive ₹10,000 per annum.  Established in 1999 by SD Shibulal (co-founder and former CEO, Infosys) and Kumari Shibulal (Sarojini Damodaran Foundation), the scheme aims to provide financial support to help transform the lives of the underprivileged students in society by contributing to their higher education.",Class 10 passed school students,"The selected students will receive ₹10,000 per annum.",A recent photograph A scanned copy of Class 10 marksheet* A scanned copy of the income certificate issued by a competent authority; a ration card is not accepted  *Note:- Applicants missing their original marksheet can upload a provisional/online version from the SSLC/CBSE/ICSE website.,"Eligible applicants can apply for the scholarship by following the below-mentioned steps:- Step 1: Click on the 'Apply Now' button. Step 2: Click the 'Register' button and enter the required registration details. (Note:- If already registered, log in using Gmail/Mobile number/Email ID) Step 3: Navigate the 'Apply Now' at the bottom of the page and click on it. Step 4: Click on 'Register' to start the application.  Step 5: Confirm the registration through the email sent by Vidhyadhan. Step 6: Log in using the registered email ID and password. Step 7: Click on the ‘Help’ link from the Vidyadhan Account for complete application instructions. Step 8: Click on the ‘Application’ button to create a new application. Step 9: Fill in the required details, upload the necessary documents and submit.  Note:- The application will be considered complete only after the applicants upload the mandatory documents and photographs.",Application Deadline: 10th July 2025,Sarojini Damodaran Foundation (SDF) will shortlist the applicants based on their academic performance and the information provided in the application form. The shortlisted candidates will be invited for a short online test/interview.,N/A,"Sarojini Damodaran Foundation 678, 11th Main Rd 4th T Block East, 4th Block  Jayanagar, Bengaluru Karnataka - 560041 Email ID: vidyadhan.gujarat@sdfoundationindia.com | Phone Number: 9663517131  Source: https://www.vidyadhan.org/",Apply online link Latest scholarship link Original website,N/A
SHRI TULSI TANTI UDAAN SCHOLARSHIP PROGRAM FOR GRADUATE STUDENTS 2025-26,logos\SHRI_TULSI_TANTI_UDAAN_SCHOLARSHIP_PROGRAM_FOR_GRA.jpg,/page/suzlon-scholarship-program,https://www.buddy4study.com/page/suzlon-scholarship-program,Tentative launch date Jun 2026,"INR 60,000 per year",For first year B.E./B.Tech. students,"The Suzlon Scholarship Program 2025–26, an initiative by the Suzlon Group, aims to create an inclusive and empowered generation by supporting the education of deserving students from economically weaker sections. As per the Ministry of Education’s Unified District Information System for Education (2021–22), the dropout rate among female students in Class 9 remains significantly high. To bridge this gap and promote equal access to education, Suzlon has launched this scholarship program, open to female students in class 9th as well as students pursuing graduation or diploma courses, enabling them to continue their studies and build a brighter future.  About Suzlon Group  Suzlon Group, a global pioneer in renewable energy solutions, is driving the transition toward a sustainable future across 17 countries spanning Asia, Australia, Europe, Africa, and the Americas. With deep expertise in renewable energy systems, Suzlon is dedicated to creating a cleaner, greener planet.  At the heart of Suzlon’s philosophy lies the belief that true sustainability comes from the responsible and balanc","Open for female students studying in Class 9. Applicants’ annual family income must be INR 6 lakh or less from all sources. Applicable for females domiciled and enrolled in schools located only in Maharashtra, Madhya Pradesh, Andhra Pradesh, Gujarat, Rajasthan, Tamil Nadu, Telangana, Daman, and Puducherry. Children of Buddy4Study employees are not eligible to apply.",N/A,N/A,N/A,"Open for female students studying in Class 9. Applicants’ annual family income must be INR 6 lakh or less from all sources. Applicable for females domiciled and enrolled in schools located only in Maharashtra, Madhya Pradesh, Andhra Pradesh, Gujarat, Rajasthan, Tamil Nadu, Telangana, Daman, and Puducherry. Children of Buddy4Study employees are not eligible to apply.",N/A,N/A,"In case of any queries, please reach out to:",N/A,"Q: What is the selection process for the Suzlon Scholarship Program 2025-26? | A: Candidates must complete the multi-step online application form, including: Providing personal details, academic information, documents, references, etc. Answering subjective questions about life situations and support requirements Shortlisting based on eligibility criteria and socio-economic status Document verification and telephonic interactions Final approval by the scholarship provider Scholar onboarding || Q: Is the scholarship available for PAN India students? | A: The scholarship is open to Indian females studying in Class 9, with an annual family income of INR 6 lakh or less, enrolled in schools located in specified states. || Q: Is the scholarship available for PAN India students? | A: The scholarship is open to Indian females studying in Class 9, with an annual family income of INR 6 lakh or less, enrolled in schools located in specified states. || Q: What is the scholarship amount I will get if I'm selected? | A: No, the scholarship is available for students enrolled in schools in Maharashtra, Madhya Pradesh, Andhra Pradesh, Gujarat, Rajasthan, Tamil Nadu, Telangana, Daman, and Puducherry. || Q: What is the scholarship amount I will get if I'm selected? | A: No, the scholarship is available for students enrolled in schools in Maharashtra, Madhya Pradesh, Andhra Pradesh, Gujarat, Rajasthan, Tamil Nadu, Telangana, Daman, and Puducherry. || Q: Can students from other classes apply for the Suzlon Shakti Scholarship? | A: Selected students can receive a scholarship amount of up to INR 1,20,000. || Q: Is there any income limit for applicants? | A: No, only females studying in Class 9 are eligible for the Suzlon Shakti Scholarship."
FEDERAL BANK HORMIS MEMORIAL FOUNDATION SCHOLARSHIP 2025-26,logos\FEDERAL_BANK_HORMIS_MEMORIAL_FOUNDATION_SCHOLARSHI.png,/scholarship/federal-bank-hormis-memorial-foundation-scholarship-2025,https://www.buddy4study.com/scholarship/federal-bank-hormis-memorial-foundation-scholarship-2025,Tentative launch date Sep 2026,100% tuition fees reimbursement & other benefits,1st year undergraduate and graduate students,"Federal Bank Hormis Memorial Foundation Scholarship 2025-26 is an initiative of Federal Bank to provide financial support to first-year undergraduate students pursuing specified professional courses. This scholarship aims to support the education of meritorious students from Gujarat, Karnataka, Kerala, Maharashtra, Punjab, and Tamil Nadu. The selected students will receive 100% reimbursement of tuition fees and other educational expenses, as per the college's fee structure.",1st year undergraduate and graduate students,"Selected candidates will receive:-  100% reimbursement of tuition fees and other educational expenses. This reimbursement is based on the official fee structure of the college. PC/Laptop reimbursement of up to ₹40,000 (one-time). Tablet reimbursement of up to ₹30,000 (one-time).  All of the reimbursements remain within the overall eligibility of ₹1,00,000 per annum.","Passport-sized photograph of the student Admission letter/memo Course fee structure Income certificate issued by government authorities Nativity/domicile certificate Marksheets of qualifying examination ID proof & address proof of student and parent Medical certificate (for physically challenged/impaired students) Instructions from the university for converting the CGPA/Grade into percentage (mandatory for MBA applicants) For dependant wards of Martyred Armed Forces Personnel who lost their life while serving the Nation, evidence showing the same needs to be submitted.  Note:-  For speech/hearing/vision impaired students, a certificate issued by a Medical Officer, not below the rank of DMO or an approved Medical Officer of the Bank is mandatory. The photograph must be in JPEG file format and less than 500 KB in size. All other documents must be in PDF file format and less than 300 KB in size.","Eligible students can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details. (Note: If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the 'Apply Now' button and click it. Step 4: Enter your mobile number, captcha, and click on the login button. Step 5: After successful verification, read the terms & conditions carefully, tick the checkbox at the bottom of the page, and click on the 'Submit' button. Step 6: Fill in all the required details, upload the necessary documents, and submit the application.  Note:- Applicants are requested to take a printout of the submitted application for future reference.",Application Deadline: 31 December 2025,The candidates will be selected based on their marks in the last qualifying examination and a personal interview.,"One seat in each discipline will be kept aside for physically challenged students. If no applications are received under the physically challenged category, they will be utilised under the general category. Applications will be accepted through online mode only. Incomplete/multiple applications will not be accepted. The decision of the Bank/ Foundation regarding the selection of students and in all matters in this regard will be final and binding.  Note:- For detailed information, kindly refer to the 'Scholarship Guidelines'.","The Federal Bank Ltd. CSR Dept, 4th Floor, Federal Towers, Marine Drive, Ernakulam Email ID: csr@federalbank.co.in | Phone Number: 0484-2201402  Source : https://www.federal.bank.in/",Media Link Apply online link,Question: Who is offering this scholarship? Answer: This scholarship is being offered by the Federal Bank.  Question: Are there any loans offered under this scholarship? Answer: Only reimbursements and allowances are offered under this scholarship.  Question: Where can applicants apply for this scholarship? Answer: Applicants can apply for this scholarship online via the official website of the Federal Bank.  Question: Who is K. P. Hormis? Answer: K. P. Hormis is the founder of the Federal Bank. The then Union Finance Minister Shri. P. Chidambaram at Ernakulam set up a charitable trust in the honour of Hormis in 1996.  Question: Are there extra allowances for disabled students? Answer: All students will receive the same benefits.
